imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,males_allages_avg_vote,males_allages_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
tt0016029,The Little Colonel,1935,1935-02-22,"Comedy, Family, Musical",81,USA,English,David Butler,"William M. Conselman, William M. Conselman",Fox Film Corporation,7.1,1259,17,4,7.1,1259,6.8,617,6.4,43,6.7,156,6.8,401,7.5,357,7.6,55,7.2,148,7.7,137,6.4,125,7.1,602,6.7,299
tt0018037,The Jazz Singer,1927,1929-03-03,"Drama, Music, Musical",88,USA,English,Alan Crosland,"Samson Raphaelson, Alfred A. Cohn",Warner Bros.,6.5,8372,96,57,6.5,8372,6.5,5591,6.5,1091,6.4,2676,6.6,1695,6.6,1337,6.7,330,6.5,493,6.8,485,6.3,259,6.6,3298,6.4,3128
tt0019388,The Singing Fool,1928,1929-04-19,"Musical, Drama",105,USA,English,Lloyd Bacon,"C. Graham Baker, C. Graham Baker",Warner Bros.,6.3,197,13,6,6.3,197,6.2,149,6.4,14,6.3,41,6.1,92,6.8,18,8.0,3,8.0,3,6.4,11,6.0,35,6.0,90,6.4,72
tt0019644,Applause,1929,1930-01-04,"Drama, Musical",80,USA,English,Rouben Mamoulian,"Beth Brown, Garrett Fort",Paramount Pictures,7.0,1215,22,19,7.0,1215,6.9,789,6.8,105,6.9,319,7.0,349,7.0,229,7.1,44,6.9,103,7.3,76,6.2,91,7.3,480,6.8,487
tt0019725,Broadway,1929,1929-11-29,"Crime, Musical",104,USA,English,Pál Fejös,"Philip Dunning, George Abbott",Universal Pictures,6.2,328,13,7,6.2,328,6.1,241,5.3,15,6.1,59,6.2,160,6.5,67,4.7,3,7.0,3,7.1,60,5.6,49,6.5,211,5.7,90
tt0019726,Broadway Babies,1929,1930-01-20,"Drama, Musical",86,USA,English,Mervyn LeRoy,"Jay Gelzer, Monte M. Katterjohn",First National Pictures,6.4,113,5,2,6.4,113,6.1,71,0.0,0,5.9,14,6.1,56,7.0,17,0.0,0,7.4,6,6.6,11,5.2,21,6.5,61,5.7,24
tt0019729,The Broadway Melody,1929,1929-06-06,"Drama, Musical, Romance",100,USA,English,Harry Beaumont,"Edmund Goulding, Norman Houston",Metro-Goldwyn-Mayer (MGM),5.7,5943,81,33,5.7,5943,5.7,3881,5.4,631,5.6,1722,6.1,1438,6.0,981,5.8,154,5.9,306,6.4,492,5.9,237,5.8,2696,5.7,1807
tt0019777,The Cocoanuts,1929,1930-02-28,"Comedy, Musical",96,USA,English,"Robert Florey, Joseph Santley","George S. Kaufman, Morrie Ryskind",Paramount Pictures,7.0,6599,69,41,7.0,6599,7.0,4604,6.9,423,6.9,1942,7.1,2122,7.2,722,6.9,104,7.2,263,7.4,338,6.6,266,7.2,2909,6.7,2136
tt0019798,The Dance of Life,1929,1930-05-09,"Drama, Musical, Romance",115,USA,English,"John Cromwell, A. Edward Sutherland","Benjamin Glazer, Arthur Hopkins",Paramount Pictures,6.5,245,8,3,6.5,245,6.1,155,5.4,6,6.5,42,6.0,106,7.5,54,6.3,3,7.8,16,7.5,35,5.7,36,6.8,136,6.0,69
tt0019815,Devil-May-Care,1929,1930-08-08,"Musical, Romance",97,USA,"English, French",Sidney Franklin,"Eugène Scribe, Ernest Legouve",Metro-Goldwyn-Mayer (MGM),6.1,100,4,2,6.1,100,6.2,73,5.0,4,6.1,17,6.3,52,5.9,13,0.0,0,6.7,5,5.4,8,6.0,27,6.0,67,6.8,16
tt0019933,Glorifying the American Girl,1929,1929-12-07,"Comedy, Drama, Musical",95,USA,English,Millard Webb,"J.P. McEvoy, Millard Webb",Paramount Pictures,6.0,577,25,3,6.0,577,5.9,364,5.1,8,5.8,178,6.0,171,6.1,149,5.4,5,6.3,65,5.9,78,5.8,52,5.8,408,6.1,93
tt0019936,Gold Diggers of Broadway,1929,1930-04-25,"Comedy, Musical",101,USA,English,Roy Del Ruth,"De Leon Anthony, Avery Hopwood",Warner Bros.,6.7,135,9,1,6.7,135,6.3,90,5.1,8,6.8,20,6.2,59,7.7,14,5.0,2,10.0,1,8.5,10,5.0,24,7.4,57,5.3,41
tt0019946,The Great Gabbo,1929,1930-04-18,"Drama, Musical, Romance",92,USA,"German, English","James Cruze, Erich von Stroheim","Ben Hecht, Hugh Herbert",James Cruze Productions,6.1,653,24,16,6.1,653,6.0,461,5.7,21,5.9,162,6.2,269,6.2,60,5.6,6,5.8,21,6.6,32,6.0,84,6.5,242,5.8,261
tt0019959,Hallelujah,1929,1929-08-20,"Drama, Musical",109,USA,English,King Vidor,"Wanda Tuchock, Richard Schayer",Metro-Goldwyn-Mayer (MGM),6.8,1456,36,27,6.8,1456,6.8,998,6.6,94,6.7,406,6.9,481,6.9,168,5.8,29,6.6,52,7.5,83,6.4,135,6.8,627,6.7,489
tt0019993,The Hollywood Revue of 1929,1929,1930-03-21,Musical,130,USA,English,"Charles Reisner, Christy Cabanne","Al Boasberg, Robert E. Hopkins",Metro-Goldwyn-Mayer (MGM),6.0,1765,43,11,6.0,1765,6.0,985,6.3,45,6.0,284,5.8,649,5.6,486,6.2,19,6.0,86,5.0,376,6.0,117,5.8,1168,6.0,280
tt0020034,It's a Great Life,1929,1930-12-19,"Comedy, Musical, Romance",93,USA,English,Sam Wood,"Alfred Block, Al Boasberg",Metro-Goldwyn-Mayer (MGM),6.1,259,9,1,6.1,259,5.4,117,6.7,3,6.1,34,5.2,77,6.5,49,10.0,1,7.1,15,5.9,33,4.6,32,6.9,121,4.4,39
tt0020112,The Love Parade,1929,1930-09-12,"Comedy, Musical, Romance",107,USA,"English, French",Ernst Lubitsch,"Ernest Vajda, Guy Bolton",Paramount Pictures,7.1,1807,28,28,7.1,1807,7.1,1270,7.2,105,7.1,572,7.0,565,7.2,255,7.3,39,7.1,105,7.3,101,6.5,161,7.1,787,7.0,665
tt0020143,Marianne,1929,1930-05-09,"Drama, Musical, Romance",111,USA,"English, French",Robert Z. Leonard,"Dale Van Every, Laurence Stallings",Cosmopolitan Productions,6.2,1134,18,3,6.2,1134,6.1,600,5.9,19,6.4,148,6.0,425,6.2,361,7.1,10,6.3,57,5.8,293,5.5,73,6.3,805,5.7,138
tt0020238,On with the Show!,1929,1929-11-29,"Musical, Romance",104,USA,"English, French",Alan Crosland,"Humphrey Pearson, Robert Lord",Warner Bros.,6.0,227,15,4,6.0,227,5.9,148,4.2,4,5.6,28,6.2,112,5.2,25,5.8,4,5.5,4,5.7,16,5.8,38,6.0,136,5.4,34
tt0020336,Chasing Rainbows,1930,1930-08-22,"Comedy, Drama, Musical",96,USA,English,Charles Reisner,"Robert E. Hopkins, Bess Meredyth",Metro-Goldwyn-Mayer (MGM),6.0,196,10,3,6.0,196,6.0,136,4.7,3,5.7,30,6.1,103,6.0,39,8.5,2,5.3,12,6.1,25,5.6,38,6.1,134,5.6,38
tt0020358,Sally,1929,1930-09-05,Musical,103,USA,"English, French",John Francis Dillon,"Guy Bolton, Waldemar Young",First National Pictures,6.0,274,15,3,6.0,274,5.9,171,2.0,3,5.8,40,6.1,125,6.2,49,5.5,4,6.0,12,6.4,32,5.4,44,6.0,170,5.8,42
tt0020402,Show Boat,1929,1929-08-23,"Drama, Musical, Romance",147,USA,English,"Harry A. Pollard, Arch Heath","Edna Ferber, Edward J. Montaigne",Universal Pictures,6.1,212,11,3,6.1,212,6.1,122,4.0,3,5.8,25,6.2,94,6.1,33,4.5,2,6.9,10,6.0,19,6.1,28,6.0,107,6.3,42
tt0020403,Show of Shows,1929,1931-01-09,Musical,128,USA,English,John G. Adolfi,"J. Keirn Brennan, Frank Fay",Warner Bros.,5.9,320,24,2,5.9,320,5.8,205,6.1,7,6.4,45,5.7,148,6.0,43,5.7,6,7.2,11,5.7,24,5.7,60,5.9,175,5.8,66
tt0020458,Street Girl,1929,1929-12-13,"Drama, Musical, Romance",87,USA,English,Wesley Ruggles,"Jane Murfin, W. Carey Wonderly",RKO Radio Pictures,6.1,334,12,1,6.1,334,5.8,202,6.1,6,6.3,34,5.6,159,6.6,86,7.2,6,7.2,11,6.2,68,4.7,43,6.2,232,5.2,47
tt0020466,Sunnyside Up,1929,1930-04-18,"Comedy, Musical",121,USA,English,David Butler,"Buddy G. DeSylva, Lew Brown",Fox Film Corporation,6.5,345,25,11,6.5,345,6.3,226,6.0,5,6.0,46,6.4,170,7.1,55,7.0,8,7.1,16,7.1,26,5.7,61,6.6,183,6.1,86
tt0020480,Tanned Legs,1929,1929-11-10,"Comedy, Musical",71,USA,English,Marshall Neilan,Thomas J. Geraghty,RKO Radio Pictures,5.6,125,7,1,5.6,125,5.4,86,6.0,1,5.2,16,5.5,69,6.1,18,0.0,0,5.3,5,6.5,13,4.9,25,5.6,90,5.8,14
tt0020542,The Vagabond Lover,1929,1930-06-27,"Comedy, Musical",65,USA,English,Marshall Neilan,James Ashmore Creelman,RKO Radio Pictures,5.2,186,18,3,5.2,186,5.1,119,0.0,0,4.6,24,5.2,94,5.2,23,6.0,1,5.5,6,5.4,14,5.4,32,5.2,108,5.0,30
tt0020640,Animal Crackers,1930,1930-09-06,"Comedy, Musical",97,USA,English,Victor Heerman,"George S. Kaufman, Morrie Ryskind",Paramount Pictures,7.6,12459,94,44,7.6,12459,7.6,8565,7.6,1005,7.5,3822,7.6,3541,7.7,1269,7.7,225,7.7,526,7.7,489,7.1,346,7.9,4876,7.3,4398
tt0020670,Be Yourself!,1930,1930-06-13,"Comedy, Musical",65,USA,English,Thornton Freeland,"Max Marcin, Thornton Freeland",Joseph M. Schenck Productions,5.8,155,10,2,5.8,155,5.7,111,5.2,4,5.5,25,5.9,78,5.8,16,0.0,0,5.5,2,5.8,12,5.4,23,5.7,98,5.8,23
tt0020690,The Big Pond,1930,1931-03-06,"Comedy, Musical, Romance",72,USA,"English, French",Hobart Henley,"Garrett Fort, George Middleton",Paramount Pictures,5.9,197,11,6,5.9,197,5.8,126,6.2,6,5.6,31,5.9,88,6.1,27,4.0,3,6.4,11,6.3,11,5.7,45,6.0,81,5.8,69
tt0020713,Bright Lights,1930,1930-09-21,"Drama, Musical, Romance",69,USA,English,Michael Curtiz,"Humphrey Pearson, Henry McCarty",First National Pictures,5.6,208,15,8,5.6,208,5.5,127,2.0,1,5.3,25,5.6,99,6.0,40,10.0,1,6.5,4,5.8,35,4.9,47,5.8,129,5.0,34
tt0020724,Call of the Flesh,1930,1931-04-03,"Musical, Romance",100,USA,English,Charles Brabin,"Dorothy Farnum, John Colton",Metro-Goldwyn-Mayer (MGM),5.5,101,10,2,5.5,101,5.3,67,2.0,2,6.3,16,5.5,48,5.9,19,0.0,0,6.7,3,6.0,15,5.3,18,5.5,66,5.1,19
tt0020763,Children of Pleasure,1930,1931-02-13,"Comedy, Musical, Romance",70,USA,English,Harry Beaumont,"Crane Wilbur, Richard Schayer",Metro-Goldwyn-Mayer (MGM),5.7,111,11,1,5.7,111,5.6,75,4.7,3,4.9,18,6.2,53,5.6,17,4.0,1,5.3,5,5.6,10,5.6,27,5.6,70,5.5,18
tt0020799,The Cuckoos,1930,1930-10-03,"Comedy, Musical",97,USA,English,Paul Sloane,"Guy Bolton, Bert Kalmar",RKO Radio Pictures,6.1,185,10,7,6.1,185,6.1,130,6.0,1,5.5,29,6.3,97,5.8,25,0.0,0,6.3,8,5.2,17,6.0,32,6.2,118,5.8,30
tt0020842,Die Drei von der Tankstelle,1930,1930-10-02,"Comedy, Musical, Romance",99,Germany,German,Wilhelm Thiele,"Franz Schulz, Paul Frank",Universum Film (UFA),6.6,713,8,3,6.6,713,6.5,465,6.6,22,6.2,166,6.9,263,6.9,66,6.7,9,6.9,32,7.2,24,6.9,68,7.1,50,6.6,461
tt0020852,Elstree Calling,1930,1930-06-06,"Comedy, Musical",86,UK,English,"André Charlot, Jack Hulbert","Adrian Brunel, Walter C. Mycroft",British International Pictures (BIP),5.3,319,10,3,5.3,319,5.4,225,5.7,26,5.2,101,5.6,93,5.7,30,4.4,5,6.3,11,6.1,12,5.1,39,5.4,84,5.4,161
tt0020891,The Florodora Girl,1930,1931-02-06,"Drama, Musical, Romance",79,USA,English,Harry Beaumont,"Gene Markey, Gene Markey",Cosmopolitan Productions,6.0,1214,8,7,6.0,1214,5.9,641,5.9,20,6.1,153,5.8,458,6.0,402,5.9,11,6.0,56,6.0,332,5.3,75,6.2,896,5.1,129
tt0020894,Follow Thru,1930,1931-06-26,"Comedy, Musical, Romance",92,USA,English,"Lloyd Corrigan, Laurence Schwab","Lew Brown, Buddy G. DeSylva",Paramount Pictures,6.5,189,10,6,6.5,189,6.3,117,7.3,3,6.3,31,6.2,81,6.8,40,8.0,3,7.0,12,5.4,24,4.3,27,7.4,99,5.0,54
tt0020902,Free and Easy,1930,1931-04-03,"Comedy, Musical",92,USA,"English, German",Edward Sedgwick,"Richard Schayer, Paul Dickey",Metro-Goldwyn-Mayer (MGM),5.6,790,30,11,5.6,790,5.5,498,6.2,23,5.3,174,5.6,291,5.5,110,5.4,17,5.4,41,5.7,50,5.7,85,5.4,439,5.7,161
tt0020924,Going Wild,1930,1931-04-17,"Musical, Romance",68,USA,English,William A. Seiter,"James Montgomery, Humphrey Pearson",First National Pictures,6.0,135,7,2,6.0,135,5.8,89,0.0,0,5.0,18,6.0,70,6.1,21,6.0,1,6.4,8,5.9,12,6.0,33,6.0,95,5.0,14
tt0020929,Good News,1930,1930-08-23,"Comedy, Musical",90,USA,English,Nick Grinde,"Laurence Schwab, Lew Brown",Metro-Goldwyn-Mayer (MGM),5.5,315,6,2,5.5,315,5.3,173,4.5,2,5.4,16,5.3,155,5.7,114,0.0,0,5.0,6,5.8,108,4.1,25,6.7,253,3.9,35
tt0020945,Half Shot at Sunrise,1930,1931-01-02,"Comedy, Musical",78,USA,"English, French",Paul Sloane,"James Ashmore Creelman, Anne Caldwell",RKO Radio Pictures,6.1,283,15,11,6.1,283,6.1,196,6.2,6,6.2,44,6.0,143,6.1,32,7.0,1,6.1,12,6.1,19,5.9,43,6.1,156,6.0,63
tt0020949,Happy Days,1929,1930-06-06,Musical,80,USA,English,Benjamin Stoloff,"Sidney Lanfield, Edwin J. Burke",Fox Film Corporation,5.5,119,7,1,5.5,119,5.0,79,4.2,4,5.6,14,5.0,60,6.7,24,7.5,2,10.0,1,7.0,21,4.9,26,5.6,75,4.9,28
tt0021016,Just Imagine,1930,1930-11-23,"Comedy, Fantasy, Musical",113,USA,English,David Butler,"Buddy G. DeSylva, Lew Brown",Fox Film Corporation,5.4,602,39,17,5.4,602,5.4,408,5.6,23,5.4,111,5.4,263,5.6,58,5.0,4,5.6,20,6.4,31,5.4,71,5.6,242,5.2,208
tt0021061,Let's Go Native,1930,1930-08-16,"Comedy, Musical",77,USA,English,Leo McCarey,"Percy Heath, George Marion Jr.",Paramount Pictures,5.6,110,9,2,5.6,110,5.2,68,6.8,4,4.9,13,5.1,51,6.4,23,0.0,0,5.6,7,7.4,16,4.4,14,6.1,66,4.9,25
tt0021069,The Life of the Party,1930,1930-10-25,"Comedy, Musical, Romance",79,USA,English,Roy Del Ruth,"Darryl F. Zanuck, Arthur Caesar",Warner Bros.,5.7,124,7,3,5.7,124,5.6,71,4.3,3,4.5,7,5.9,61,5.6,25,7.5,2,5.9,5,5.5,17,4.9,18,5.8,73,5.2,21
tt0021090,Lord Byron of Broadway,1930,1930-02-28,"Musical, Romance, Drama",80,USA,English,"Harry Beaumont, William Nigh",Nell Martin,Metro-Goldwyn-Mayer (MGM),5.5,116,11,3,5.5,116,5.2,76,6.0,1,4.8,13,5.3,60,6.4,14,8.0,1,4.7,3,6.6,10,5.3,24,5.3,64,5.6,25
tt0021094,The Lottery Bride,1930,1931-05-01,"Musical, Romance",80,USA,English,Paul L. Stein,"Herbert Stothart, Howard Emmett Rogers",Joseph M. Schenck Productions,5.3,137,10,4,5.3,137,5.2,84,3.0,1,5.2,14,5.3,69,5.5,20,6.4,5,4.8,7,5.5,8,5.7,31,5.4,66,5.1,38
tt0021100,Love in the Rough,1930,1931-02-20,"Comedy, Musical, Romance",84,USA,"English, Yiddish",Charles Reisner,"Vincent Lawrence, Sarah Y. Mason",Metro-Goldwyn-Mayer (MGM),5.6,130,5,3,5.6,130,5.4,77,8.0,1,4.3,17,5.6,55,5.8,34,6.0,1,6.9,12,5.2,21,5.5,30,5.4,89,5.7,21
tt0021106,Madam Satan,1930,1930-09-20,"Musical, Romance, Comedy",116,USA,English,Cecil B. DeMille,"Jeanie Macpherson, Gladys Unger",Metro-Goldwyn-Mayer (MGM),6.6,733,37,18,6.6,733,6.5,488,6.9,15,6.3,123,6.6,339,6.8,97,6.8,8,7.1,32,6.5,56,6.3,95,6.5,348,6.5,211
tt0021152,Montana Moon,1930,1930-10-24,"Comedy, Drama, Musical",89,USA,English,Malcolm St. Clair,"Sylvia Thalberg, Frank Butler",Metro-Goldwyn-Mayer (MGM),4.6,361,17,8,4.6,361,4.7,191,6.3,6,4.5,45,4.6,137,4.1,103,5.7,8,4.5,21,3.8,70,4.7,44,4.5,219,4.7,64
tt0021153,Monte Carlo,1930,1931-07-31,"Comedy, Musical, Romance",90,USA,"English, French",Ernst Lubitsch,"Ernest Vajda, Hans Müller",Paramount Pictures,6.8,1054,30,20,6.8,1054,6.8,727,7.1,62,6.8,295,6.7,360,7.0,151,7.7,21,6.9,63,6.8,64,6.2,111,6.9,416,6.6,439
tt0021178,New Moon,1930,1931-07-03,"Drama, Musical, Romance",78,USA,English,Jack Conway,"Oscar Hammerstein II, Frank Mandel",Metro-Goldwyn-Mayer (MGM),6.1,131,15,3,6.1,131,6.0,75,8.0,1,5.8,13,5.9,60,5.8,23,6.8,4,3.7,3,5.7,14,5.5,20,5.8,73,5.9,15
tt0021276,Puttin' on the Ritz,1930,1930-07-18,Musical,88,USA,English,Edward Sloman,"Billy K. Wells, James Gleason",Joseph M. Schenck Productions,5.9,106,7,3,5.9,106,5.6,71,2.0,2,5.0,14,6.0,54,6.2,14,6.0,1,10.0,1,6.2,12,6.2,20,5.6,58,5.8,26
tt0021280,One Heavenly Night,1931,1931-01-14,"Comedy, Musical, Romance",82,USA,English,George Fitzmaurice,"Louis Bromfield, Sidney Howard",The Samuel Goldwyn Company,5.0,100,9,0,5.0,100,4.7,66,0.0,0,4.1,8,4.8,57,5.9,13,7.0,1,6.4,5,5.2,7,4.9,23,4.4,51,5.9,25
tt0021307,The Rogue Song,1930,1930-09-05,"Musical, Romance",104,USA,English,"Lionel Barrymore, Hal Roach","Robert Bodanzky, John Colton",Metro-Goldwyn-Mayer (MGM),5.9,106,6,2,5.9,106,5.9,75,6.6,6,5.6,22,5.9,45,5.6,13,4.8,4,7.0,3,6.5,6,5.7,28,5.9,39,5.8,46
tt0021371,Show Girl in Hollywood,1930,1930-11-14,"Comedy, Musical, Drama",80,USA,English,Mervyn LeRoy,"J.P. McEvoy, Harvey F. Thew",First National Pictures,6.7,188,11,10,6.7,188,6.3,120,7.0,1,6.0,25,6.4,93,7.1,27,8.3,3,7.4,10,6.9,12,5.7,27,6.8,106,5.6,35
tt0021394,So Long Letty,1929,1929-10-16,"Comedy, Musical",64,USA,English,Lloyd Bacon,"De Leon Anthony, Arthur Caesar",Warner Bros.,6.2,103,6,0,6.2,103,6.1,71,6.0,2,5.7,12,6.2,56,6.5,15,0.0,0,4.8,4,6.9,11,5.8,21,6.2,59,6.1,24
tt0021408,Soup to Nuts,1930,1931-01-23,"Comedy, Musical, Romance",70,USA,English,Benjamin Stoloff,Rube Goldberg,Fox Film Corporation,6.0,322,21,3,6.0,322,5.9,224,6.8,13,5.4,74,6.2,133,7.8,19,10.0,2,8.5,7,5.7,10,6.4,43,6.0,180,5.9,50
tt0021409,Sous les toits de Paris,1930,1930-06-24,"Comedy, Drama, Musical",96,France,"French, Romanian",René Clair,René Clair,Films Sonores Tobis,7.1,1859,13,22,7.1,1859,7.1,1334,7.0,152,7.0,628,7.2,525,7.1,195,7.0,40,7.2,91,7.2,61,6.5,141,7.1,548,7.0,893
tt0021413,Spring Is Here,1930,1930-11-07,"Comedy, Musical, Romance",69,USA,English,John Francis Dillon,"Owen Davis, Jimmy Starr",First National Pictures,5.6,234,16,0,5.6,234,5.4,140,7.2,4,5.6,19,5.3,116,5.6,64,7.5,2,6.1,15,5.7,46,4.3,29,6.0,164,4.4,34
tt0021435,Sunny,1930,1930-11-09,Musical,78,USA,English,William A. Seiter,"Otto A. Harbach, Oscar Hammerstein II",First National Pictures,5.3,111,11,5,5.3,111,5.3,68,2.0,2,5.3,11,5.4,54,5.5,16,3.0,1,5.0,4,5.7,11,5.4,23,5.3,71,5.2,13
tt0021439,Sweet Kitty Bellairs,1930,1930-09-05,"Musical, Romance",63,USA,English,Alfred E. Green,"David Belasco, Egerton Castle",Warner Bros.,5.1,108,8,5,5.1,108,5.0,71,2.0,2,4.8,14,5.3,53,5.2,22,6.5,2,6.0,5,4.7,15,5.1,28,4.9,78,5.5,13
tt0021464,They Learned About Women,1930,1930-01-31,"Musical, Drama",95,USA,English,"Jack Conway, Sam Wood","Andrew Percival Younger, Sarah Y. Mason",Metro-Goldwyn-Mayer (MGM),5.7,186,9,4,5.7,186,5.7,127,1.0,1,5.1,21,5.9,104,5.8,34,6.0,1,6.8,4,6.1,28,5.0,30,5.6,141,6.3,16
tt0021486,Top Speed,1930,1930-08-24,"Comedy, Musical, Romance",80,USA,English,Mervyn LeRoy,"Harry Ruby, Bert Kalmar",First National Pictures,6.1,153,10,1,6.1,153,6.0,110,4.0,1,5.4,25,6.2,84,6.2,22,0.0,0,6.4,6,6.1,16,5.8,32,5.9,107,5.9,20
tt0021549,Whoopee!,1930,1931-02-27,"Comedy, Musical, Romance",93,USA,English,Thornton Freeland,"William Anthony McGuire, Owen Davis",The Samuel Goldwyn Company,6.3,912,25,8,6.3,912,6.2,543,5.5,26,6.3,143,6.3,369,6.8,251,5.9,9,6.9,44,7.1,196,5.5,74,6.6,602,5.9,179
tt0021568,Young Man of Manhattan,1930,1931-06-05,"Comedy, Musical, Romance",79,USA,English,Monta Bell,"Katharine Brush, Robert Presnell Sr.",Paramount Pictures,6.4,111,10,2,6.4,111,6.2,64,5.5,2,5.6,20,6.7,41,6.7,24,7.0,2,6.0,9,6.9,12,6.3,20,6.6,47,6.2,36
tt0021681,Bomben auf Monte Carlo,1931,1931-08-31,"Comedy, Drama, Musical",111,Germany,German,Hanns Schwarz,"Fritz Reck-Malleczewen, Jenö Heltai",Universum Film (UFA),5.9,105,2,2,5.9,105,6.0,76,0.0,0,5.7,15,6.0,59,5.5,4,0.0,0,5.0,1,5.7,3,5.7,15,6.9,9,5.8,70
tt0021725,Caught Plastered,1931,1931-11-13,"Comedy, Musical",68,USA,English,"William A. Seiter, William A. Seiter","Douglas MacLean, Ralph Spence",RKO Radio Pictures,6.5,177,12,11,6.5,177,6.3,121,7.0,1,6.1,24,6.4,92,6.6,20,6.0,1,6.7,5,6.5,14,6.1,29,6.5,108,6.1,31
tt0021768,Cracked Nuts,1931,1931-07-17,"Comedy, Musical, Romance",65,USA,English,Edward F. Cline,"Ralph Spence, Al Boasberg",RKO Radio Pictures,6.4,211,12,7,6.4,211,6.4,145,7.5,2,5.8,29,6.5,113,6.2,23,8.0,2,6.0,9,6.0,11,6.2,33,6.5,125,5.6,38
tt0021772,The Cuban Love Song,1931,1932-04-22,"Musical, Romance",86,USA,"English, Spanish",W.S. Van Dyke,"C. Gardner Sullivan, Bess Meredyth",Metro-Goldwyn-Mayer (MGM),5.8,125,9,4,5.8,125,5.9,89,0.0,0,5.6,14,6.0,72,5.7,13,6.0,2,6.0,3,5.2,8,5.2,32,5.9,80,5.5,20
tt0021793,Delicious,1931,1931-12-27,"Comedy, Musical, Romance",106,USA,English,David Butler,"Guy Bolton, Guy Bolton",Fox Film Corporation,5.9,178,8,5,5.9,178,5.7,109,5.0,1,5.2,20,5.8,87,6.6,38,7.0,4,6.9,13,6.0,18,5.5,32,5.9,113,5.9,31
tt0021818,Die 3 Groschen-Oper,1931,1956-10-19,"Comedy, Drama, Musical",112,Germany,German,Georg Wilhelm Pabst,"Bertolt Brecht, Léo Lania",Tobis Filmkunst,7.4,1839,25,33,7.4,1839,7.3,1350,7.4,156,7.3,590,7.3,578,7.4,168,7.6,36,7.4,72,7.2,56,6.6,139,7.4,623,7.2,801
tt0021859,50 Million Frenchmen,1931,1931-12-18,"Comedy, Musical, Romance",74,USA,"English, French, German",Lloyd Bacon,"Herbert Fields, E. Ray Goetz",Warner Bros.,5.3,103,6,9,5.3,103,5.2,74,6.0,1,5.2,20,5.2,52,6.3,7,5.0,1,7.3,3,7.0,1,5.5,26,5.4,62,5.3,20
tt0021879,Flying High,1931,1931-11-14,"Comedy, Musical, Romance",80,USA,English,Charles Reisner,"Buddy G. DeSylva, Lew Brown",Metro-Goldwyn-Mayer (MGM),5.7,158,12,4,5.7,158,5.4,101,5.0,1,5.3,14,5.5,85,6.3,19,10.0,1,6.5,7,6.1,11,5.7,39,5.5,93,5.8,25
tt0021952,"Her Majesty, Love",1931,1931-12-15,"Comedy, Musical, Romance",75,USA,English,William Dieterle,"Rudolph Bernauer, Rudolf Österreicher",First National Pictures,6.0,162,9,4,6.0,162,5.8,114,2.0,2,5.4,13,6.1,96,6.4,13,0.0,0,6.7,6,6.2,7,5.6,32,5.8,100,6.0,22
tt0021973,The Hot Heiress,1931,1931-08-21,"Comedy, Musical, Romance",79,USA,"English, French",Clarence G. Badger,Herbert Fields,First National Pictures,5.9,137,5,3,5.9,137,5.9,75,6.0,1,5.4,14,6.1,58,5.7,27,3.0,1,6.9,9,5.2,15,5.1,16,6.0,88,4.8,10
tt0022000,Indiscreet,1931,1932-03-04,"Comedy, Drama, Musical",92,USA,English,Leo McCarey,"Buddy G. DeSylva, Lew Brown",Joseph M. Schenck Productions,6.2,1284,23,3,6.2,1284,6.1,727,6.2,22,6.1,188,6.1,506,6.5,415,6.9,19,6.8,67,6.2,327,5.6,88,6.4,871,5.9,243
tt0022026,Kiki,1931,1931-03-14,Musical,87,USA,"English, French",Sam Taylor,"Sam Taylor, David Belasco",Sam Taylor Productions,5.1,289,10,2,5.1,289,4.5,161,3.8,4,5.8,35,4.1,122,6.9,108,8.0,2,6.3,13,6.6,93,3.8,29,5.8,214,4.0,53
tt0022029,Kiss Me Again,1931,1931-09-25,"Musical, Romance",75,USA,English,William A. Seiter,"Henry Martyn Blossom, Julien Josephson",First National Pictures,5.6,131,4,2,5.6,131,5.4,81,2.0,2,5.5,10,5.4,69,6.6,37,0.0,0,7.0,1,6.8,35,4.5,26,6.0,102,4.5,15
tt0022034,Der Kongreß tanzt,1931,1932-03-25,"Comedy, History, Musical",85,Germany,German,Erik Charell,"Norbert Falk, Robert Liebmann",Universum Film (UFA),7.0,434,7,4,7.0,434,6.9,291,6.8,18,6.9,104,7.0,164,7.2,55,7.0,4,7.3,23,7.2,28,7.1,62,7.1,57,6.9,286
tt0022074,The Smiling Lieutenant,1931,1932-01-22,"Comedy, Romance, Musical",93,USA,"English, French",Ernst Lubitsch,"Leopold Jacobson, Felix Dormann",Paramount Pictures,7.2,3034,34,25,7.2,3034,7.2,1935,7.5,161,7.3,753,7.1,986,7.2,697,7.2,70,7.2,208,7.1,404,6.6,178,7.3,1631,7.1,909
